db	agency_id	agency_name	mode	avg	p_avg
HSL	HSL	Helsingin seudun liikenne	BUS	752	20
HSL	HSL	Helsingin seudun liikenne	FERRY	389	1
HSL	HSL	Helsingin seudun liikenne	SUBWAY	1	1
HSL	HSL	Helsingin seudun liikenne	RAIL	23	10
lautta	1	Finferries	FERRY	389	1
lautta	2	Alandstrafiken	FERRY	389	1
lautta	5	Rosita Oy	FERRY	389	1
lautta	6	JS Ferryway Ltd Oy	FERRY	389	1
lautta	7	Kuljetus-Savolainen Oy	FERRY	389	1
lautta	8	Archipelago Lines Oy	FERRY	389	1
lautta	9	Sundqvist Investments Oy Ab	FERRY	389	1
lautta	10	Pörtö Line	FERRY	389	1
lautta	11	Nordic Coast Line	FERRY	389	1
lautta	12	Yksityinen	FERRY	389	1
lautta	13	HSL	FERRY	389	1
lautta	14	Vitharun	FERRY	389	1
lautta	15	Espoon kaupunki	FERRY	389	1
lautta	16	Suomen saaristokuljetus	FERRY	389	1
lautta	17	Norsöline	FERRY	389	1
lautta	18	JT-Line Oy	FERRY	389	1
lautta	19	A&S Ravintolat	FERRY	389	1
lautta	20	Merisataman lauttaliikenne	FERRY	389	1
lautta	21	NJK Blekholmen	FERRY	389	1
lautta	22	Ferra Oy	FERRY	389	1
lautta	23	City Cruisers	FERRY	389	1
lautta	24	Aava Lines Oy	FERRY	389	1
lautta	25	Helsingin Risteilypalvelut/TMSJ Group Oy	FERRY	389	1
LINKKI	45131	Matka Mäkelä Oy	BUS	1100	20
LINKKI	54836	TILAUSAJOT MENNÄÄN BUSSILLA OY	BUS	110	20
LINKKI	6714	Jyväskylän Liikenne Oy	BUS	820	20
LINKKI	6743	Koivuranta Oy	BUS	1100	20
LINKKI	6949	Uuraisten Liikenne Ky	BUS	1100	20
LINKKI	6990	Länsilinjat Oy	BUS	110	20
LINKKI	7180	Pohjolan Matka (Pohjolan Turistiauto Oy)	BUS	1100	20
MATKA	584559	Oulun joukkoliikenne / Koskilinjat	BUS	1100	20
MATKA	584560	Oulun joukkoliikenne / Oubus	BUS	1100	20
MATKA	584561	Oulun joukkoliikenne / OTPtravel	BUS	1100	20
MATKA	584562	Oulun joukkoliikenne / Revonturistiliikenne	BUS	1100	20
MATKA	584563	A Valppu	BUS	1100	20
MATKA	584564	POS-ELY / V. Alamäki	BUS	1100	20
MATKA	586594	OnniBus FLEX	BUS	1100	20
MATKA	587513	Salon kaupunki	BUS	1100	20
MATKA	587514	Meri-Lapin joukkoliikenne	BUS	1100	20
MATKA	587517	J. Vainion Liikenne Oy	BUS	1100	20
MATKA	587753	Savonlinnan kaupunki	BUS	1100	20
MATKA	588059	FÖLI Turun seudun joukkoliikenne	BUS	1100	20
MATKA	588060	"FÖLI Turun seudun joukkoliikenne/V-S ELY-keskus, palveluntuottaja LS-Liikennelinjat Oy"	BUS	1100	20
MATKA	588061	LS-Liikennelinjat Oy	RAIL	23	10
MATKA	588064	Riihimäen kaupunki	BUS	1100	20
MATKA	588066	OnniBus.com Oy	BUS	1100	20
MATKA	588174	FINNAIR	AIRPLANE	150	1
MATKA	588175	NORWEGIAN AIR SWEDEN AOC	AIRPLANE	115	1
MATKA	588176	DANISH AIR TRANSPORT	AIRPLANE	115	1
MATKA	588177	AMAPOLA FLYG AB	AIRPLANE	115	1
MATKA	588178	TRANSAVIABALTIKA	AIRPLANE	115	1
MATKA	588179	NYXAIR	AIRPLANE	115	1
MATKA	588180	AIR LEAP	AIRPLANE	115	1
MATKA	588182	SOISALON LIIKENNE OY	BUS	1100	20
MATKA	588183	OY KAJ FORSBLOM AB	BUS	1100	20
MATKA	588184	ELIMÄEN LIIKENNE OY	BUS	1100	20
MATKA	588185	HÅKAN ERIKSSON TRANSPORT OY AB	BUS	1100	20
MATKA	588186	BUS TRAVEL OY REISSU RUOTI	BUS	1100	20
MATKA	588187	KYMEN CHARTERLINE OY	BUS	1100	20
MATKA	588188	KASILINJA OY	BUS	1100	20
MATKA	588189	VENTONIEMI OY	BUS	1100	20
MATKA	588190	LIIKENNE SEPPÄLÄ OY	BUS	1100	20
MATKA	588191	KOIVUHUHTA KY	BUS	1100	20
MATKA	588192	PORVOON LIIKENNE OY - BORGÅ TRAFIK AB	BUS	1100	20
MATKA	588193	PEKOLAN LIIKENNE OY	BUS	1100	20
MATKA	588194	SATAKUNNAN LIIKENNE OY	BUS	1100	20
MATKA	588195	JÄRVISEN LIIKENNE OY	BUS	1100	20
MATKA	588196	TILAUSLIIKENNE NIKKANEN HELSINKI OY	BUS	1100	20
MATKA	588197	OY POHJOLAN LIIKENNE AB	BUS	1100	20
MATKA	588198	J. VAINION LIIKENNE OY	BUS	1100	20
MATKA	588199	YHDYSLIIKENNE OY	BUS	1100	20
MATKA	588200	SALON TILAUSMATKAT OY	BUS	1100	20
MATKA	588201	LEHDON LIIKENNE OY	BUS	1100	20
MATKA	588202	NURMIJÄRVEN LINJA OY	BUS	1100	20
MATKA	588203	OY AMPER&WIKSTRÖM AB	BUS	1100	20
MATKA	588204	RR TRAVEL OY	BUS	1100	20
MATKA	588205	M. TERVO OY	BUS	1100	20
MATKA	588206	BUSSILIIKENNE KOIVISTO OY	BUS	1100	20
MATKA	588207	VUORISEN LIIKENNE OY	BUS	1100	20
